date,crime_count,day,month,year,day_of_week,is_weekend
2001-05-13,1210,13,5,2001,6,1
2001-05-14,1300,14,5,2001,0,0
2001-05-15,1420,15,5,2001,1,0
2001-05-16,1382,16,5,2001,2,0
2001-05-17,1407,17,5,2001,3,0
2001-05-18,1439,18,5,2001,4,0
2001-05-19,1335,19,5,2001,5,1
2001-05-20,1282,20,5,2001,6,1
2001-05-21,1437,21,5,2001,0,0
2001-05-22,1277,22,5,2001,1,0
2001-05-23,1235,23,5,2001,2,0
2001-05-24,1312,24,5,2001,3,0
2001-05-25,1351,25,5,2001,4,0
2001-05-26,1161,26,5,2001,5,1
2001-05-27,1153,27,5,2001,6,1
2001-05-28,1325,28,5,2001,0,0
2001-05-29,1410,29,5,2001,1,0
2001-05-30,1342,30,5,2001,2,0
2001-05-31,1297,31,5,2001,3,0
2001-06-01,1666,1,6,2001,4,0
2001-06-02,1398,2,6,2001,5,1
2001-06-03,1185,3,6,2001,6,1
2001-06-04,1371,4,6,2001,0,0
2001-06-05,1282,5,6,2001,1,0
2001-06-06,1344,6,6,2001,2,0
2001-06-07,1328,7,6,2001,3,0
2001-06-08,1371,8,6,2001,4,0
2001-06-09,1386,9,6,2001,5,1
2001-06-10,1413,10,6,2001,6,1
2001-06-11,1476,11,6,2001,0,0
2001-06-12,1381,12,6,2001,1,0
2001-06-13,1429,13,6,2001,2,0
2001-06-14,1393,14,6,2001,3,0
2001-06-15,1421,15,6,2001,4,0
2001-06-16,1377,16,6,2001,5,1
2001-06-17,1435,17,6,2001,6,1
2001-06-18,1494,18,6,2001,0,0
2001-06-19,1536,19,6,2001,1,0
2001-06-20,1405,20,6,2001,2,0
2001-06-21,1322,21,6,2001,3,0
2001-06-22,1374,22,6,2001,4,0
2001-06-23,1326,23,6,2001,5,1
2001-06-24,1286,24,6,2001,6,1
2001-06-25,1382,25,6,2001,0,0
2001-06-26,1363,26,6,2001,1,0
2001-06-27,1364,27,6,2001,2,0
2001-06-28,1380,28,6,2001,3,0
2001-06-29,1450,29,6,2001,4,0
2001-06-30,1404,30,6,2001,5,1
2001-07-01,1603,1,7,2001,6,1
2001-07-02,1372,2,7,2001,0,0
2001-07-03,1316,3,7,2001,1,0
2001-07-04,1420,4,7,2001,2,0
2001-07-05,1377,5,7,2001,3,0
2001-07-06,1455,6,7,2001,4,0
2001-07-07,1447,7,7,2001,5,1
2001-07-08,1385,8,7,2001,6,1
2001-07-09,1431,9,7,2001,0,0
2001-07-10,1492,10,7,2001,1,0
2001-07-11,1397,11,7,2001,2,0
2001-07-12,1419,12,7,2001,3,0
2001-07-13,1511,13,7,2001,4,0
2001-07-14,1442,14,7,2001,5,1
2001-07-15,1392,15,7,2001,6,1
2001-07-16,1512,16,7,2001,0,0
2001-07-17,1425,17,7,2001,1,0
2001-07-18,1406,18,7,2001,2,0
2001-07-19,1403,19,7,2001,3,0
2001-07-20,1555,20,7,2001,4,0
2001-07-21,1502,21,7,2001,5,1
2001-07-22,1429,22,7,2001,6,1
2001-07-23,1468,23,7,2001,0,0
2001-07-24,1418,24,7,2001,1,0
